id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,form pressure,47,57,14,22,243,ship,baseline,monotonic-signal,raise-signal
m002,g002,sync drift,41,61,33,30,173,ship,edge,drag-penalty,drop-slack
m003,g003,local state,90,12,51,46,182,ship,recovery,confidence-floor,raise-drag
m004,g004,conflict cost,74,20,30,38,218,ship,negative,lane-boundary,lower-confidence
m005,g005,form pressure,122,26,45,58,354,ship,baseline,monotonic-signal,raise-signal
m006,g006,sync drift,92,56,33,66,388,ship,edge,drag-penalty,drop-slack
m007,g007,local state,85,20,15,31,297,ship,recovery,confidence-floor,raise-drag
m008,g008,conflict cost,41,69,18,91,371,ship,negative,lane-boundary,lower-confidence
m009,g009,form pressure,120,26,24,59,434,ship,baseline,monotonic-signal,raise-signal
m010,g010,sync drift,61,31,8,41,295,ship,edge,drag-penalty,drop-slack
m011,g011,local state,84,17,29,37,244,ship,recovery,confidence-floor,raise-drag
m012,g012,conflict cost,99,77,31,26,379,ship,negative,lane-boundary,lower-confidence
m013,g013,form pressure,119,40,22,88,525,ship,baseline,monotonic-signal,raise-signal
m014,g014,sync drift,31,13,13,31,129,watch,edge,drag-penalty,drop-slack
m015,g015,local state,83,18,17,50,317,ship,recovery,confidence-floor,raise-drag
m016,g016,conflict cost,112,18,10,8,348,ship,negative,lane-boundary,lower-confidence
m017,g017,form pressure,51,20,11,97,343,ship,baseline,monotonic-signal,raise-signal
m018,g018,sync drift,55,48,34,96,317,ship,edge,drag-penalty,drop-slack
m019,g019,local state,65,11,12,100,369,ship,recovery,confidence-floor,raise-drag
m020,g020,conflict cost,117,59,13,8,433,ship,negative,lane-boundary,lower-confidence
m021,g021,form pressure,68,51,19,29,288,ship,baseline,monotonic-signal,raise-signal
m022,g022,sync drift,77,38,23,45,305,ship,edge,drag-penalty,drop-slack
m023,g023,local state,90,16,13,50,350,ship,recovery,confidence-floor,raise-drag
m024,g024,conflict cost,100,72,41,44,368,ship,negative,lane-boundary,lower-confidence
m025,g025,form pressure,73,40,18,65,357,ship,baseline,monotonic-signal,raise-signal
m026,g026,sync drift,94,8,29,30,242,ship,edge,drag-penalty,drop-slack
m027,g027,local state,112,46,22,103,546,ship,recovery,confidence-floor,raise-drag
m028,g028,conflict cost,81,62,30,45,337,ship,negative,lane-boundary,lower-confidence
m029,g029,form pressure,122,37,18,40,448,ship,baseline,monotonic-signal,raise-signal
m030,g030,sync drift,88,51,35,36,298,ship,edge,drag-penalty,drop-slack
m031,g031,local state,79,77,52,38,259,ship,recovery,confidence-floor,raise-drag
m032,g032,conflict cost,79,17,9,74,383,ship,negative,lane-boundary,lower-confidence
m033,g033,form pressure,91,25,35,30,243,ship,baseline,monotonic-signal,raise-signal
m034,g034,sync drift,43,20,7,49,239,ship,edge,drag-penalty,drop-slack
m035,g035,local state,115,72,23,20,437,ship,recovery,confidence-floor,raise-drag
m036,g036,conflict cost,66,25,7,83,386,ship,negative,lane-boundary,lower-confidence
m037,g037,form pressure,54,74,40,95,340,ship,baseline,monotonic-signal,raise-signal
m038,g038,sync drift,38,20,37,99,204,ship,edge,drag-penalty,drop-slack
m039,g039,local state,82,47,44,20,204,ship,recovery,confidence-floor,raise-drag
m040,g040,conflict cost,64,22,38,15,114,watch,negative,lane-boundary,lower-confidence
m041,g041,form pressure,111,12,19,44,369,ship,baseline,monotonic-signal,raise-signal
m042,g042,sync drift,37,34,32,49,149,watch,edge,drag-penalty,drop-slack
m043,g043,local state,52,29,47,56,138,watch,recovery,confidence-floor,raise-drag
m044,g044,conflict cost,63,23,4,51,321,ship,negative,lane-boundary,lower-confidence
m045,g045,form pressure,81,23,8,29,315,ship,baseline,monotonic-signal,raise-signal
m046,g046,sync drift,36,14,33,102,208,ship,edge,drag-penalty,drop-slack
m047,g047,local state,65,64,33,57,305,ship,recovery,confidence-floor,raise-drag
m048,g048,conflict cost,83,16,45,26,153,watch,negative,lane-boundary,lower-confidence
m049,g049,form pressure,105,64,14,35,457,ship,baseline,monotonic-signal,raise-signal
m050,g050,sync drift,106,45,42,37,314,ship,edge,drag-penalty,drop-slack
m051,g051,local state,70,54,22,86,402,ship,recovery,confidence-floor,raise-drag
m052,g052,conflict cost,100,21,45,16,194,ship,negative,lane-boundary,lower-confidence
m053,g053,form pressure,39,77,20,48,287,ship,baseline,monotonic-signal,raise-signal
m054,g054,sync drift,43,34,30,105,287,ship,edge,drag-penalty,drop-slack
m055,g055,local state,53,24,43,95,225,ship,recovery,confidence-floor,raise-drag
m056,g056,conflict cost,105,51,20,81,499,ship,negative,lane-boundary,lower-confidence
m057,g057,form pressure,56,67,34,98,362,ship,baseline,monotonic-signal,raise-signal
m058,g058,sync drift,65,31,43,105,295,ship,edge,drag-penalty,drop-slack
m059,g059,local state,34,67,41,27,126,watch,recovery,confidence-floor,raise-drag
m060,g060,conflict cost,66,12,25,30,182,ship,negative,lane-boundary,lower-confidence
m061,g061,form pressure,50,22,22,48,202,ship,baseline,monotonic-signal,raise-signal
m062,g062,sync drift,32,19,22,55,156,ship,edge,drag-penalty,drop-slack
m063,g063,local state,32,36,30,63,174,ship,recovery,confidence-floor,raise-drag
m064,g064,conflict cost,35,77,4,15,273,ship,negative,lane-boundary,lower-confidence
m065,g065,form pressure,93,30,17,101,473,ship,baseline,monotonic-signal,raise-signal
m066,g066,sync drift,68,0,25,56,216,ship,edge,drag-penalty,drop-slack
m067,g067,local state,107,36,38,38,317,ship,recovery,confidence-floor,raise-drag
m068,g068,conflict cost,86,52,35,21,264,ship,negative,lane-boundary,lower-confidence
m069,g069,form pressure,88,27,18,36,318,ship,baseline,monotonic-signal,raise-signal
m070,g070,sync drift,35,6,11,85,243,ship,edge,drag-penalty,drop-slack
m071,g071,local state,105,50,37,28,323,ship,recovery,confidence-floor,raise-drag
m072,g072,conflict cost,55,34,41,34,137,watch,negative,lane-boundary,lower-confidence
m073,g073,form pressure,87,28,27,104,417,ship,baseline,monotonic-signal,raise-signal
m074,g074,sync drift,93,17,42,94,333,ship,edge,drag-penalty,drop-slack
m075,g075,local state,104,30,37,93,410,ship,recovery,confidence-floor,raise-drag
m076,g076,conflict cost,113,69,5,84,625,ship,negative,lane-boundary,lower-confidence
m077,g077,form pressure,86,21,15,104,448,ship,baseline,monotonic-signal,raise-signal
m078,g078,sync drift,106,58,21,26,402,ship,edge,drag-penalty,drop-slack
m079,g079,local state,36,61,12,42,266,ship,recovery,confidence-floor,raise-drag
m080,g080,conflict cost,49,59,19,34,257,ship,negative,lane-boundary,lower-confidence
m081,g081,form pressure,68,26,28,54,252,ship,baseline,monotonic-signal,raise-signal
m082,g082,sync drift,111,1,19,62,383,ship,edge,drag-penalty,drop-slack
m083,g083,local state,53,50,17,27,245,ship,recovery,confidence-floor,raise-drag
m084,g084,conflict cost,71,29,7,87,417,ship,negative,lane-boundary,lower-confidence
m085,g085,form pressure,93,56,7,55,473,ship,baseline,monotonic-signal,raise-signal
m086,g086,sync drift,94,61,8,37,446,ship,edge,drag-penalty,drop-slack
m087,g087,local state,58,47,38,33,182,ship,recovery,confidence-floor,raise-drag
m088,g088,conflict cost,88,72,44,22,276,ship,negative,lane-boundary,lower-confidence
m089,g089,form pressure,115,17,10,84,507,ship,baseline,monotonic-signal,raise-signal
m090,g090,sync drift,75,16,16,27,247,ship,edge,drag-penalty,drop-slack
m091,g091,local state,107,35,27,46,375,ship,recovery,confidence-floor,raise-drag
m092,g092,conflict cost,82,41,45,90,328,ship,negative,lane-boundary,lower-confidence
m093,g093,form pressure,82,12,38,93,304,ship,baseline,monotonic-signal,raise-signal
m094,g094,sync drift,73,24,15,92,391,ship,edge,drag-penalty,drop-slack
m095,g095,local state,76,14,33,96,316,ship,recovery,confidence-floor,raise-drag
m096,g096,conflict cost,37,41,12,90,325,ship,negative,lane-boundary,lower-confidence
